Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Segment,Category,Sub-Category,Product Container,Product Name,Product ID,Product Base Margin,Region,State,County,Country,Order Date-Old,Order Date,Ship Date,Profit,Quantity,Sales-Old,Sales,Order ID
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Low,0.055665534082840196,383.6977248919248,11.122296345086905,5506,Charles Garcia,Standard,Home Office,Medical,Syringes,Bag,sit,972a8469-1641-4f82-8b9d-2434e465e150,0.11271307179271345,UK,England,Greater Manchester,United Kingdom,2022-02-24,24-02-2022,28-02-2022,51.60658643100871,1,435.3043113229335,411.07,14165
3b8faa18-37f8-488b-97fc-695a07a0ca6e,Low,0.09941882534332425,342.44799700078545,18.623537015080416,9279,Kristina Baldwin,Standard,Corporate,Healthcare,Medications,Box,science,72ff5d2a-386e-4be0-ab65-a6a48b8148f6,0.4035229468519069,UK,Scotland,Peeblesshire,United Kingdom,2020-12-05,05-12-2020,11-12-2020,-16.63859749850745,4,1353.1533905046344,1218.62,10851
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,Medium,0.051105138259924354,220.96728528680183,13.97448451211571,7924,Christopher Bernard,Express,Home Office,Pharmaceutical,Syringes,Bag,great,18c26797-6142-4a7d-97be-31111a2a73ed,0.3144912365818803,UK,Northern Ireland,Cheshire,United Kingdom,2021-08-13,13-08-2021,22-08-2021,-12.046515577872128,10,2197.6263372901462,2085.32,55082
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,Medium,0.288676072628381,367.0573262967156,6.145609591391556,8527,Valerie Gray,Standard,Corporate,Medical,Bandages,Box,old,9e574f7a-a0ee-49ae-9453-dd324b0dbb41,0.2520504900156665,UK,Northern Ireland,Wrexham,United Kingdom,2021-08-21,21-08-2021,04-09-2021,9.449653691025276,6,2211.793611471319,1573.3,85674
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,Medium,0.10475351538574385,170.140019922101,28.41636469281235,4733,Victoria Wyatt,Standard,Home Office,Healthcare,Bandages,Pack,trial,7412b293-4729-4739-a14f-f3d719db3ad0,0.16536099750477135,UK,Northern Ireland,Kent,United Kingdom,2021-08-31,31-08-2021,11-09-2021,106.44858752999394,4,787.0086672183979,704.57,31319
ab9099a4-35a2-40ae-9af3-05535ec42e08,Low,0.16214136720766092,395.7411099165675,6.398448688732099,5374,Melinda Jones,Standard,Corporate,Pharmaceutical,Medications,Box,prove,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,0.1843931374345306,UK,Wales,Greater Manchester,United Kingdom,2019-12-14,14-12-2019,25-12-2019,49.76937784768319,8,3215.698257180223,2694.3,70589
ece66fa2-fd51-46e6-851b-4cf36123fdf7,High,0.13244008324902623,160.98237846229256,19.03420335407877,4598,Sarah Parsons,Express,Home Office,Healthcare,Medical Devices,Bag,drop,50c187fc-ce17-4b4e-8837-b8a3d261a7ab,0.2447985774854444,UK,Scotland,Somerset,United Kingdom,2021-12-22,22-12-2021,30-12-2021,-72.72717634786183,1,88.25520211443073,76.57,45093
f16287e4-e9c3-49e0-b602-f8ac10f1bc81,High,0.07642065967413053,121.99190077510261,22.012030337408177,6155,Jonathan Wilkerson,Standard,Corporate,Pharmaceutical,Medical Devices,Case,question,23bed01d-43cf-4fde-a493-3b83757750a9,0.4884313510454473,UK,England,Denbighshire,United Kingdom,2020-08-29,29-08-2020,09-09-2020,165.4365350387327,5,775.3960389142458,716.14,83579
95a76d79-bf3c-4c06-8343-08bc89fa6a68,Low,0.17008773651552261,182.07505789134177,8.953943858616743,8019,Jennifer Robinson,Standard,Home Office,Healthcare,Medications,Pack,certainly,c17af08a-1745-46d8-be57-0ddf827050a8,0.3030726698417301,UK,England,Worcestershire,United Kingdom,2018-12-18,18-12-2018,23-12-2018,152.50080445174012,9,1791.176325473816,1486.52,24371
cac5b68c-28f4-4481-a0a0-4dc427209bdf,Low,0.09945555088236652,218.26123366601658,9.038725893828834,7916,Janice Carlson,Standard,Home Office,Pharmaceutical,Medical Devices,Box,management,8da0365b-f898-47b9-805c-acec877409a9,0.14474709012835804,UK,Wales,Lancashire,United Kingdom,2018-08-29,29-08-2018,02-09-2018,-82.62245005174373,10,2099.9898866084222,1891.13,99166
e2817efd-ae84-4217-9d53-434bb88139b9,High,0.04282672603393939,268.69570849247623,6.73031296170959,9797,Patricia Peterson,Standard,Consumer,Healthcare,Medical Devices,Pack,finally,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,0.20602265157602365,UK,Northern Ireland,Greater Manchester,United Kingdom,2020-10-20,20-10-2020,29-10-2020,126.57955899074165,4,1201.3623929606465,1149.91,75612
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,Low,0.15585814565044748,497.8172104974026,21.246951440986336,2743,Elizabeth Fowler,Express,Home Office,Pharmaceutical,Syringes,Pack,politics,c333e861-5fb8-416c-a720-797d32ebd689,0.18987893481262297,UK,Wales,Argyll,United Kingdom,2019-12-08,08-12-2019,18-12-2019,66.17645672734395,10,5044.34856170137,4258.15,80697
87c5421e-ec24-43c5-8754-108ff4188f3f,High,0.0035954194925467697,368.52842594680436,6.471844171908085,1009,Katherine Rodriguez,Standard,Consumer,Pharmaceutical,Syringes,Pack,him,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,0.2113909055858188,UK,Northern Ireland,Greater Manchester,United Kingdom,2021-03-06,06-03-2021,15-03-2021,-60.3064453824925,10,3624.977814085551,3611.94,41385
913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Low,0.23633551315589707,403.07874093083905,25.187424944166086,2290,John Jones,Standard,Consumer,Medical,Medical Devices,Case,soon,20de435d-2031-4750-840d-b9b4885f6e66,0.26943144920796835,UK,Northern Ireland,Buckinghamshire,United Kingdom,2022-08-09,09-08-2022,20-08-2022,96.03664647973747,2,902.1941283414155,688.97,82063
df57c59a-8715-4103-83da-c0432a45c2ab,High,0.2013106410511344,202.68617242773342,26.541813408819777,7932,Tanya Campos,Standard,Consumer,Medical,Medical Devices,Pack,road,66245bfa-4fcc-439a-b683-d2e6337ea2df,0.2687526559337617,UK,Wales,Ross-shire,United Kingdom,2021-09-27,27-09-2021,01-10-2021,162.34578622117397,2,567.7181310766408,453.43,67422
